title,filename,series
96 Suicide Squad The Joker,unnamed-19-150x150.jpg,DC
97 SS Harley Quinn,unnamed-20-150x150.jpg,DC
98 SS Deadshot,unnamed-13-150x150.jpg,DC
99 SS Rick Flag,unnamed-18-150x150.jpg,DC
100 SS Katana,unnamed-15-150x150.jpg,DC
101 SS Boomerang,unnamed-17-150x150.jpg,DC
102 SS Killer Croc,unnamed-16-150x150.jpg,DC
102 GITD Killer Croc (BN),gitckc-150x150.png,DC
103 SS Diablo,unnamed-14-150x150.jpg,DC
104 SS The Joker (Target),targetjoker-150x150.jpg,DC
105 SS Prison Harley Quinn (Gamestop),gamesophq-150x150.jpg,DC
106 SS Masked Deadshot,unnamed-21-150x150.jpg,DC
107 SS The Joker (Walmart),walmartjokersuit-150x150.jpg,DC
108 SS Harley Quinn in Gown (HT),hqgown-150x150.jpg,DC
109 Tuxedo The Joker (HT),jokertuxedo-150x150.jpg,DC
110 Enchantress (Legion of Collectors Box),enchantress-150x150.jpg,DC
111 Batman (PX ),blueoldbatman-150x150.jpg,DC
112 Armored Batman (PX),batmandkr-150x150.jpg,DC
113 Unmasked Armored Batman (PX),oldarmoredbatman-150x150.jpg,DC
116 The Joker (PX),suitjoker-150x150.jpg,DC
117 Batman (PX),oldbatman-150x150.jpg,DC
Robin,robincarrie-150x150.jpg,DC
122 The Penguin Impopster Batman,penguin-150x150.jpg,DC
123 Two Face Impopster Batman,twofac-150x150.jpg,DC
124 Harley Quinn Impopster Batman,hqbatman-150x150.jpg,DC
125 Scarecrow Impopster Batman,scarecrowbatman-150x150.jpg,DC
126 The Riddler Impopster Batman,riddler-150x150.jpg,DC
127 Harley Quinn Impopster Batgirl,hqbatwoman-150x150.jpg,DC
128 Poison Ivy Impopster Batgirl,poisonivycatwoman-150x150.jpg,DC
129 Doomsday 6'≥ (SDCC 16/GS),9831_BvS_Doomsday_6in_POP_GLAM_HiRes_large-150x150.jpg,DC
130 False God Superman Variant (SDCC 16/GS),9931_BMvSM_False_God_hires_large-150x150.jpg,DC
131 Underwater Batman  (SDCC 16/Hot Topic),underwaterbatman-150x150.jpg,DC
133 Surf's Up Batman,surfsbatman-150x150.jpg,DC
134 Surf's Up Joker,surfsupjoker-150x150.jpg,DC
135 Dr. Harleen (Walmart),drharleen-150x150.jpg,DC
136 Batgirl of Burnside,batgirlofurnside-150x150.jpg,DC
137 Zur En Arrh Batman (Target),zur-en-arrh-batman-150x150.jpg,DC
140 Golden Age Batman (Specialty Series),goldenagebatman-150x150.jpeg,DC
145 Clark Kent,clarkkent1-150x150.jpeg,DC
01 Thor,01-Thor-150x150.jpg,Marvel
02 Loki,02-Loki-150x150.jpg,Marvel
03 Spider-Man,03SpiderMan-150x150.jpg,Marvel
03 B&W Spiderman (Fugitive Toys),03-SpidermanBW-150x150.jpg,Marvel
03 Spiderman (SDCC 2011),03-SpidermanMetallic-150x150.jpg,Marvel
Red/Black Spider-man (HT),redblackspideyht-150x150.jpeg,Marvel
04 Iron Man,04-IronManOG-150x150.jpg,Marvel
04 Blue Stealth Iron Man [Rhode Island Comic Con 2014],bluestealthironman-150x150.jpg,Marvel
05 Wolverine,05-Wolverine-150x150.jpg,Marvel
05 B&W Wolverine (Fugitive Toys),05-WolverineBW-150x150.jpg,Marvel
05  Classic Brown Wolverine (Zapp Comics),MAR05A-150x150.jpg,Marvel
05 X-Force Wolverine (Hot Topic),05-WolverineXForce-150x150.jpg,Marvel
06 Captain America,06-CaptainAmericaOG-150x150.jpg,Marvel
6 B&W Captain America (Gemini),marvel6-150x150.jpg,Marvel
06-Metallic Captain America (SDCC),captamericametallic-150x150.jpg,Marvel
06 Unmasked Captain America [Comikaze],Screen-Shot-2014-10-01-at-2.12.33-PM-150x150.png,Marvel
06 Metallic Unmasked Captain America [PopCultcha],popculchaunmasked-150x150.jpg,Marvel
07 Red Skull,07-Red-Skull-150x150.jpg,Marvel
08 The Hulk,08-TheHulkOG-150x150.jpg,Marvel
09 The Thing,09-TheThing-150x150.jpg,Marvel
09-Thing,blackeyesthing-150x150.jpg,Marvel
09 B&W 'The Thing'ù (Gemini Collectibles),09-TheThingBW-150x150.jpg,Marvel
09 Metallic 'The Thing'ù (SDCC 2011),09-TheThingMetallic-150x150.jpg,Marvel
10 Captain America (Avengers),10-CaptainAmerica-150x150.jpg,Marvel
11 Iron Man (Avengers),11-IronMan-150x150.jpg,Marvel
12 Thor (Avengers),12-Thor-150x150.jpg,Marvel
13 The Hulk (Avengers),13-TheHulk-150x150.jpg,Marvel
14 Nick Fury (Avengers),14-NickFury-150x150.jpg,Marvel
15 Spider-Man,15-AmazingSpiderman-150x150.jpg,Marvel
15 Spiderman Glow (Gemini Collectibles),15-SpidermanGlow-150x150.jpg,Marvel
15 Spiderman Glow (Japan Exclusive),15-SpidermanGlowJapan-150x150.jpg,Marvel
15 Metallic Spiderman (SDCC 2012),15-SpidermanMetallic-150x150.jpg,Marvel
16 Loki 'Gold Helmet'ù (SDCC 2012),12224750194_e3dc72cd72_b-150x150.jpg,Marvel
17 Dr. Doom,17-drdoom-150x150.jpg,Marvel
17 B&W Dr. Doom (Fugitive Toys),17-DrDoomBW-150x150.jpg,Marvel
17 Metallic Dr. Doom [Bangkok Comic Con],metallicdrdoom-150x150.jpg,Marvel
18 Ghost Rider,18-ghostrider-150x150.jpg,Marvel
18 Glow in the Dark Ghost Rider (Harrison Comics),18-GhostRiderGITD-150x150.jpg,Marvel
18 Metallic Ghost Rider (SDCC 2013),18-GhostRiderChrome-150x150.jpg,Marvel
19 Silver Surfer,19-silversurfer-150x150.jpg,Marvel
20 Deadpool,20-deadpool-150x150.jpg,Marvel
20 Yellow Colorway Deadpool (Convention Exclusive),20-YellowDeadpool-150x150.jpg,Marvel
20 Inverse Deadpool (Fugitive Toys),20-InverseDeadpool-150x150.jpg,Marvel
20 Glow in the Dark Deadpool (Harrison Comics),20-DeadpoolGITD-150x150.jpg,Marvel
20 X-Force Deadpool (Hot Topic),20-XForceDeadpool-150x150.jpg,Marvel
20 B&W Glow in the Dark Deadpool (Matt's Cavalcade of Comics),20-DeadpoolBWGITD-150x150.jpg,Marvel
20 Metallic Deadpool (SDCC 2013),20-DeadpoolMetallic-150x150.jpg,Marvel
20 B&W Deadpool (Matt's Calvacade),mattdeadpool-150x150.jpg,Marvel
20 X-Men Deadpool,xmen-deadpool-150x150.jpg,Marvel
21 Beast,21-beast-150x150.jpg,Marvel
21 Flocked Beast (Gemini Collectibles),21-BeastFlocked-150x150.jpg,Marvel
22 Dark Phoenix,22-darkphoenix-150x150.jpg,Marvel
